className,method,score
cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto,cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto#setIsOverhandStyle,0
cn.nc.channel.backend.adapter.repository.po.CustomizeLayoutPo,cn.nc.channel.backend.adapter.repository.po.CustomizeLayoutPo#getIdentityId,1
cn.nc.user.instuser.service.impl.InstThirdUserRelApplyServiceImpl,cn.nc.user.instuser.service.impl.InstThirdUserRelApplyServiceImpl#checkAndBuildApplyData,151
cn.nc.channel.auth.outer.adapter.repository.po.BasePo,cn.nc.channel.auth.outer.adapter.repository.po.BasePo#getId,1
cn.nc.user.cfaeacct.service.impl.CfaeAccountHisServiceImpl,cn.nc.user.cfaeacct.service.impl.CfaeAccountHisServiceImpl#cfaeAcctBatchDeleteCenter,2
cn.nc.user.inst.facade.controller.QueryListInstMaintenanceHistoryController,cn.nc.user.inst.facade.controller.QueryListInstMaintenanceHistoryController#doService,1
cn.nc.issuance.book.dcm.query.facade.controller.purchaseManage.PurchaseOfferManageListController,cn.nc.issuance.book.dcm.query.facade.controller.purchaseManage.PurchaseOfferManageListController#doService,1
cn.nc.issuance.book.dcm.utils.DateTimeUtil,cn.nc.issuance.book.dcm.utils.DateTimeUtil#formatISODateTime,1
cn.nc.issuance.book.dcm.query.service.dto.directinvestor.whitelist.AccountWhiteHisShchDto,cn.nc.issuance.book.dcm.query.service.dto.directinvestor.whitelist.AccountWhiteHisShchDto#getUpdateTimestamp,1
cn.nc.user.conf.SysConfigFieldService,cn.nc.user.conf.SysConfigFieldService#confAccountTabList,0
cn.nc.pub.msg.facade.controller.outside.PubBookCrmwProductInstanceReceiveController,cn.nc.pub.msg.facade.controller.outside.PubBookCrmwProductInstanceReceiveController#receiveBookCrmwProductInstance,1
cn.nc.pub.msg.adapter.repository.po.MsgSendOperatorPo,cn.nc.pub.msg.adapter.repository.po.MsgSendOperatorPo#getAccount,1
cn.nc.user.staff.service.impl.UserServiceImpl,cn.nc.user.staff.service.impl.UserServiceImpl#modifyUserInfo,23
cn.nc.channel.backend.service.dto.layout.PageLayoutConfigQueryReqDto,cn.nc.channel.backend.service.dto.layout.PageLayoutConfigQueryReqDto#setUseStatus,0
cn.nc.channel.msg.client.dto.MessageTargetInfoDto,cn.nc.channel.msg.client.dto.MessageTargetInfoDto#getTerminalType,1
cn.nc.channel.backend.adapter.repository.po.PageLayoutConfigPo,cn.nc.channel.backend.adapter.repository.po.PageLayoutConfigPo#setInputUserName,0
cn.nc.user.dict.service.impl.SysDictionaryServiceImpl,cn.nc.user.dict.service.impl.SysDictionaryServiceImpl#sysDictionaryDelete,8
cn.nc.pub.wkcl.converter.TradeCalMapperImpl,cn.nc.pub.wkcl.converter.TradeCalMapperImpl#poToResp,6
cn.nc.common.util.TreeNode,cn.nc.common.util.TreeNode#getParentKey,0
cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto,cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto#setPublisherAccount,0
cn.nc.operation.base.model.dto.AbstractEntityDto,cn.nc.operation.base.model.dto.AbstractEntityDto#getModifyUserId,1
cn.nc.user.cfaeacct.service.impl.CfaeAccountHisServiceImpl,cn.nc.user.cfaeacct.service.impl.CfaeAccountHisServiceImpl#cfaeAcctApprovePass4OpenApply,5
cn.nc.operation.task.engine.feign.param.InstUserDto,cn.nc.operation.task.engine.feign.param.InstUserDto#setInstUserStatus,0
cn.nc.issuance.book.dcm.facade.controller.publishadmin.ConsignGroupOfferReplyController,cn.nc.issuance.book.dcm.facade.controller.publishadmin.ConsignGroupOfferReplyController#doService,1
cn.nc.user.cfaeuser.dto.CfaeRegisterUserDto,cn.nc.user.cfaeuser.dto.CfaeRegisterUserDto#getName,1
cn.nc.issuance.book.dcm.query.service.bond.BondMgrService,cn.nc.issuance.book.dcm.query.service.bond.BondMgrService#getPrdtRatingList,0
cn.nc.channel.msg.ChannelMsgModuleApplication,cn.nc.channel.msg.ChannelMsgModuleApplication#main,0
cn.nc.issuance.book.dcm.service.impl.PricingPlacingServiceImpl,cn.nc.issuance.book.dcm.service.impl.PricingPlacingServiceImpl#confirmOrRefuseAmount,11
cn.nc.issuance.common.service.dto.RspHead,cn.nc.issuance.common.service.dto.RspHead#getServRespDescInfo,1
